ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
603628.SH,20260403,100048,13543.92,101350,13732.03,77748,10528.77,78415,10606.31,33172,4491.14,32267,4374.89,5789,788.47,4725,639.08,-57374,-7759.81
603629.SH,20260403,87287,52275.18,84972,50897.45,61463,36847.67,62879,37692.54,37767,22668.08,37325,22394.41,12049,7229.27,13390,8035.8,-4395,-2492.61
603630.SH,20260403,16326,2560.27,17066,2677.07,5407,848.71,4308,675.27,2229,347.96,2588,404.6,0,0.0,0,0.0,-3062,-483.48
603633.SH,20260403,39858,2912.19,42149,3079.73,13232,967.0,11209,820.13,4942,362.02,4674,341.33,0,0.0,0,0.0,-11818,-860.98
603636.SH,20260403,40753,3596.7,41323,3646.98,23332,2057.5,20725,1827.07,7554,666.9,11418,1007.77,1827,160.73,0,0.0,-9274,-818.04
603637.SH,20260403,29421,3420.8,30999,3605.33,9831,1142.26,8353,971.71,4548,529.1,4448,515.12,0,0.0,0,0.0,-2078,-241.15
603638.SH,20260403,15153,2930.74,15560,3008.8,9311,1800.33,9937,1920.92,3288,634.29,2255,435.64,0,0.0,0,0.0,-5731,-1103.14
603639.SH,20260403,20397,2655.2,23097,3005.77,8373,1088.73,6927,901.44,2590,337.28,1336,174.01,0,0.0,0,0.0,-10162,-1323.84
603648.SH,20260403,13482,1315.04,15341,1496.64,6123,597.32,4568,445.52,3336,327.16,3032,297.36,0,0.0,0,0.0,-3691,-360.8
603650.SH,20260403,29650,14583.39,26054,12815.78,15195,7471.58,15973,7856.61,7894,3879.83,8251,4055.21,1133,555.31,3594,1762.51,3037,1502.54
603655.SH,20260403,8771,3187.51,9683,3516.82,4717,1714.56,5106,1856.09,3984,1440.16,3504,1270.21,2019,734.56,1198,433.67,-2377,-866.22
603656.SH,20260403,9502,1938.89,9250,1887.81,6400,1304.7,5403,1101.8,2612,531.73,2483,506.13,0,0.0,1378,279.59,186,37.14
603657.SH,20260403,22363,6183.87,21097,5832.88,7558,2089.15,7426,2053.99,2173,599.34,3403,939.1,0,0.0,168,46.4,-1784,-489.26
603658.SH,20260403,11800,4016.09,11330,3856.6,5746,1954.02,5746,1954.61,1871,636.05,2341,794.96,0,0.0,0,0.0,-1801,-614.33
603659.SH,20260403,282767,85005.33,254757,76617.72,214987,64658.02,206387,62096.48,118982,35821.82,147020,44219.48,41238,12401.53,49809,14953.01,-12447,-3791.67
603660.SH,20260403,69792,6293.47,71999,6492.63,60818,5486.57,55048,4968.51,17913,1613.46,25028,2251.61,5460,492.23,1909,172.97,-27170,-2441.69
603661.SH,20260403,12365,3975.27,11552,3706.18,4256,1372.07,4614,1491.66,2279,737.23,2164,699.79,0,0.0,570,186.94,4418,1431.33
603662.SH,20260403,9282,4971.67,8226,4407.05,6687,3579.87,5903,3159.81,1632,874.12,3048,1629.67,68,36.19,492,265.31,-546,-291.31
603663.SH,20260403,27902,11305.51,25979,10531.59,13651,5534.13,13754,5578.07,9833,3986.23,8279,3352.48,2738,1102.66,6112,2466.38,-2462,-994.78
603665.SH,20260403,12603,3717.76,11986,3537.6,6592,1944.27,5883,1734.51,2169,640.9,3495,1030.82,0,0.0,0,0.0,-4100,-1207.08
603666.SH,20260403,11308,2866.16,11203,2841.47,6414,1625.75,6282,1588.81,3252,825.32,2656,673.78,1032,263.79,1865,476.95,-4704,-1191.58
